ride_id,rideable_type,weekdays,duration,start_station_name,end_station_name,member_casual
B7887B05FD58B0BE,classic_bike,Tuesday,11.738316667079925,Lexington Ave & E 29 St,Hudson Blvd W & W 36 St,member
B71FDF840E136DDA,electric_bike,Monday,2.5106666644414264,Grand Concourse & E 166 St,Morris Ave & E 163 St,member
2248470D3FBD06C9,classic_bike,Friday,3.2588000019391377,Cooper Square & Astor Pl,E 1 St & Bowery,member
9C9D93C122B1B91C,classic_bike,Saturday,18.382266664505003,W 50 St & 10 Ave,W 15 St & 10 Ave,member
0F1033519AC15548,electric_bike,Tuesday,16.35621666908264,E 47 St & 1 Ave,Queens Plaza North & Crescent St,member
DF5AB5005DF4DCF8,electric_bike,Wednesday,36.675999999046326,W 41 St & 8 Ave,10 Ave & W 14 St,casual
66EC2318FCB73A49,classic_bike,Wednesday,10.230883332093557,Greenwich Ave & Charles St,E 17 St & 2 Ave,member
A700436B93DD30BD,electric_bike,Saturday,7.131366666158041,E 85 St & 3 Ave,E 63 St & 3 Ave,member
493DB7C752D6DBFD,electric_bike,Thursday,19.81045000155767,Berry St & N 8 St,Prospect Pl & Underhill Ave,member
648DC31DAB4F5C5E,electric_bike,Friday,3.0255666653315227,31 St & Newtown Ave,30 Ave & 21 St,member
0A6B57EC163CD88D,electric_bike,Tuesday,23.99231666723887,Amsterdam Ave & W 131 St,12 Ave & W 40 St,member
C33239B413C4327F,electric_bike,Saturday,27.64814999898275,Madison St & Clinton St,Central Ave & Himrod St,casual
01C31DA5CE59DB91,electric_bike,Tuesday,3.4129499991734824,W 25 St & 6 Ave,8 Ave & W 27 St,member
0D8778EF4F551DA7,classic_bike,Tuesday,6.651300001144409,Central Park W & W 91 St,W 76 St & Columbus Ave,casual
2884EC8140F4271A,classic_bike,Wednesday,4.062516665458679,LaGuardia Pl & W 3 St,Lafayette St & E 8 St,member
0FB298C7120EFA87,electric_bike,Thursday,1.9468666672706605,Myrtle Ave & Lewis Ave,Pulaski St & Marcus Garvey Blvd,member
5D3E236E7C67B14F,classic_bike,Saturday,8.346916663646699,9 Ave & W 45 St,W 33 St & 10 Ave,member
C22EE18BBAF8CF8E,electric_bike,Wednesday,12.322616664568583,Catherine St & Monroe St,W 10 St & Washington St,member
8921C2BC83808CE1,classic_bike,Saturday,5.317716666062673,Barrow St & Hudson St,W 17 St & 7 Ave,member
C58C82CA4D71A4D6,classic_bike,Monday,6.470883333683014,Centre St & Chambers St,St James Pl & Pearl St,member
4BB68196AACE4591,classic_bike,Wednesday,11.017883336544037,Central Park W & W 91 St,3 Ave & E 71 St,member
F70C8509528D67FC,classic_bike,Saturday,42.66969999869664,E 81 St & York Ave,Wards Meadow Comfort Station,casual
852BF0BEF30F4AAE,electric_bike,Sunday,3.178616666793823,E 47 St & 1 Ave,E 55 St & 2 Ave,member
7919204DB9D097C7,electric_bike,Wednesday,6.773516666889191,Clermont Ave & Lafayette Ave,Monroe St & Bedford Ave,member
41C6B5B82EE1D1DF,classic_bike,Sunday,8.384866666793823,6 Ave & W 33 St,W 41 St & 8 Ave,casual
E9855EADA707539F,classic_bike,Saturday,12.44363333384196,Vesey St & Church St,LaGuardia Pl & W 3 St,member
5BB0C4173DF7A19C,electric_bike,Saturday,11.5718000014623,Pacific St & Classon Ave,Bergen St & Smith St,casual
66C5D4674814A053,electric_bike,Thursday,23.59064999818802,Central Park West & W 68 St,E 20 St & FDR Dr,member
3FCC25BAEBEA6971,classic_bike,Friday,15.318233335018158,E 103 St & 2 Ave,E 77 St & 1 Ave,member
0E8A5ACB64097BB8,electric_bike,Thursday,7.560433336098989,W Broadway & Spring St,Murray St & West St,member
F944B6201E7E1CAE,electric_bike,Tuesday,13.94976666768392,Washington St & Gansevoort St,Broadway & W 48 St,member
9CE08BA8FC536813,classic_bike,Saturday,1.1205166657765706,Willoughby St & Fleet St,Duffield St & Willoughby St,member
A98F3DB08C9F337F,classic_bike,Sunday,2.156599998474121,Water St & Gouverneur Ln,South St & Gouverneur Ln,member
0CE65416ADB195BD,classic_bike,Sunday,5.917416663964589,61 St & 39 Ave,72 St & 41 Ave,casual
A3D6C5C559413A89,classic_bike,Sunday,7.765400000413259,Herkimer St & New York Ave,Putnam Ave & Throop Ave,member
BA2AA09710C2A713,electric_bike,Thursday,11.071216666698456,W 17 St & 8 Ave,Suffolk St & Stanton St,member
A464BDEF5ABB8495,classic_bike,Tuesday,7.8924833337465925,W 43 St & 10 Ave,E 43 St & Madison Ave,member
310E7F2F2D0188C0,electric_bike,Saturday,5.868833335240682,Grand St & Greene St,Market St & Henry St,member
400F497AA7B42C57,classic_bike,Saturday,5.026316666603089,Center Blvd & 51 Ave,Vernon Blvd & 50 Ave,member
B7B8CD2983AE59F5,electric_bike,Saturday,8.564716664950053,Central Ave & Himrod St,Monroe St & Patchen Ave,member
20DED6F561465E83,electric_bike,Tuesday,20.644149998823803,Prospect Park SW & 16 St,Berkeley Pl & 7 Ave,member
39EC1573FFEEF8F9,classic_bike,Wednesday,17.35443333387375,43 St & 37 Ave,1 Ave & E 62 St,member
24CDD3289781A0D4,classic_bike,Monday,3.780649999777476,W 63 St & Broadway,Broadway & W 58 St,member
